track_id,state,start_frame,end_frame,duration_seconds,is_value_added,description,zone
1,idle,0,2,0.6,False,,
1,moving_empty,3,6,0.8,True,,
1,idle,7,8,0.4,False,,
1,moving_empty,9,13,1.0,True,,
1,idle,14,14,0.2,False,,
2,idle,0,1,0.4,False,,
2,moving_empty,2,10,1.8,True,,
3,idle,0,0,0.2,False,,
3,moving_empty,1,2,0.4,True,,
3,idle,3,3,0.2,False,,
3,moving_empty,4,4,0.2,True,,
3,idle,5,11,1.4,False,,
3,moving_empty,12,14,0.6,True,,
3,idle,15,15,0.2,False,,
5,idle,0,0,0.2,False,,
5,moving_empty,1,3,0.6,True,,
6,idle,0,0,0.2,False,,
6,moving_empty,1,3,0.6,True,,
7,idle,0,0,0.2,False,,
7,moving_empty,1,2,0.4,True,,
