track_id,state,start_frame,end_frame,duration_seconds,is_value_added,description,zone
1,idle,0,0,0.2,False,,
1,moving_empty,1,4,0.8,True,,
1,idle,5,5,0.2,False,,
1,moving_empty,6,8,0.6,True,,
1,idle,9,17,1.8,False,,
1,moving_empty,18,20,0.6,True,,
1,loading,21,21,0.2,True,,
1,moving_empty,22,25,0.8,True,,
2,idle,0,2,0.6,False,,
2,moving_empty,3,4,0.4,True,,
2,idle,5,7,0.6,False,,
2,moving_empty,8,12,1.0,True,,
3,moving_loaded,0,0,0.2,True,,
3,idle,1,1,0.2,False,,
3,moving_empty,2,3,0.4,True,,
3,moving_loaded,4,5,0.4,True,,
4,idle,0,0,0.2,False,,
4,moving_empty,1,3,0.6,True,,
5,moving_loaded,0,0,0.2,True,,
5,moving_empty,1,3,0.6,True,,
6,idle,0,0,0.2,False,,
6,moving_empty,1,2,0.4,True,,
7,idle,0,0,0.2,False,,
7,moving_loaded,1,3,0.6,True,,
8,moving_loaded,0,0,0.2,True,,
8,moving_empty,1,2,0.4,True,,
